barcode	name	calories	protein	carbs	fat	source
0070177010652	Earl Grey Tea (lose)	1	0.1	0.2	0	nutrition.aggregated_set
0070177010768	Earl Grey Tee	1	0	0.3	0	nutrition.aggregated_set
0070177010775	Tea English Schwarztee	4	0	0	0	nutrition.aggregated_set
0070177011598	Earl Grey	1	0	0.3	0	nutrition.aggregated_set
0070177011604	English Breakfast - Rich & Balanced - Schwarztee	1	0	0.3	0	nutrition.aggregated_set
0070177055639	Peach Tea	1	0.1	0.2	0	nutrition.aggregated_set
0070177068011	Vanilla Tea	1	0.1	0.2	0	nutrition.aggregated_set
0070177095253	Schwarzer Tee &quot;Rose Garden&quot;	1	0	0.3	0	nutrition.aggregated_set
0070177095666	Grüner Tee &quot;Exotic Mango & Ginger&quot;	13	0.3	1.8	0.3	nutrition.aggregated_set
0070177095819	Kräutertee Minze	58	3.5	5.3	0.8	nutrition.aggregated_set
0070177118563	Twinings Infusions Lemon & Ginger	4	0	0	0	nutrition.aggregated_set
0070177173166	Tee, Twnnings of London Green Tea Jasmine	0	0	0	0	nutrition.aggregated_set
0070177196592	Indian Chai Aromatisierte Schwarzetee	1	0.1	0.2	0	nutrition.aggregated_set
0070177230234	Weisser Tee	1	0.1	0.2	0	nutrition.aggregated_set
0070404004355	Organic Red Wine Vinegar	0	0	0	0	nutrition.aggregated_set
0070462082517	Sourpatch Watermelon	375	0	90.6	0	nutrition.aggregated_set
0070641000066	Genuinely Brewed Rice Vinegar	2	0	0.5	0.5	nutrition.aggregated_set
0070670005100	Grilled Marinated Artichoke Hearts	107	0	3.6	10.7	nutrition.aggregated_set
0070734053344	Tension Tamer Infusion Tee	0	0	0	0	nutrition.aggregated_set
0070734523335	Jammin' Lemon  Ginger	0	0	0	0	nutrition.aggregated_set
0070970471254	Original Fruits	367	0	90	0	nutrition.aggregated_set
0071012075027	All-Purpose Flour	367	6.7	80	0	nutrition.aggregated_set
0071072011973	Marinated artichoke hearts	83	3.3	3.3	6.7	nutrition.aggregated_set
0071072012208	Sun Dried Tomatoes In Extra Virgin Olive Oil	350	10	30	20	nutrition.aggregated_set
0071100004038	Ranch Dips mix	5	0	1	0	nutrition.input_sets[0]
0071100200058	The Original Ranch Seasoning - Salad Dressing & Recipe Mix	0	0	0	0	nutrition.input_sets[0]
0071200000220	frische Alpen Milch	35	3.3	5	0.2	nutrition.aggregated_set
0071305055262	Turkey Sandwich	250	9.4	46.9	3.1	nutrition.aggregated_set
0071429026223	Chrispy Southern Fish Fri	294	5.9	70.6	0	nutrition.aggregated_set
0071448214137	Double Creme Brie	357	17.9	3.6	32.1	nutrition.aggregated_set
0071570000615	Bertie Bott‘s Beans	364	0	91	0	nutrition.aggregated_set
0072417153051	Fingers Knusprige Kekse in Milchschokolade	516	7.3	60	27.1	nutrition.aggregated_set
0072457331082	Walden Farms Balsamic Vinaigrette Calorie Free Sugar Free Fat Free Carbohydrate Free Gluten Free Cholesterol Free	0	0	3.3	0	nutrition.aggregated_set
0072810293583	Sardines In Tomato Sauce	82	8.2	5.9	2.9	nutrition.aggregated_set
0072810293606	Sardines	118	12.9	4.7	5.3	nutrition.aggregated_set
0072830906128	Sweet Cream Butter Grade Aa Salted	714	0	0	78.6	nutrition.aggregated_set
0073390009144	Sourfuls Soft & Chewy Candy	367	0	86.7	0	nutrition.aggregated_set
0073390020620	Airheads 6er	385	0	96.2	0	nutrition.aggregated_set
0073410135433	Waffle Pretzels	239	8.6	45.7	1.5	nutrition.aggregated_set
0073416000148	Organic Brown Rice Cakes	378	6.3	87.5	3.1	nutrition.aggregated_set
0073416000179	Wild Rice	375	6.3	87.5	3.1	nutrition.aggregated_set
0073575232275	Vinaigre Japonais Mizkan 500 ML	47	0.5	12	0	nutrition.aggregated_set
0073731002919	Garden Spinach Herb Wrap	310	8.5	54.9	7	nutrition.aggregated_set
0074401704324	Original couscous	357	12.5	73.2	0.9	nutrition.aggregated_set
0074401910411	Arborio Rice	356	6.7	80	0	nutrition.aggregated_set
0074603003171	Yukgaejang Hot Mushroom Flavour Noodle Soup ramen	372	6.9	61.4	11	nutrition.aggregated_set
0074603005892	Sogokimyun Ramen	408	10	65.8	11.7	nutrition.aggregated_set
0074603005922	Chacharoni Blackbean Sauce Ramen	386	10	59.3	12.1	nutrition.aggregated_set
0074880020304	Chili Oil Layu	833	0.5	1.9	92	nutrition.aggregated_set
0074880030044	Golden Curry	500	5.6	55.6	25	nutrition.aggregated_set
0074880030068	Golden curry hot	476	7.3	45	28	nutrition.aggregated_set
0074880040616	Golden curry medium hot	104	1.7	13.5	4.8	nutrition.aggregated_set
0074880057386	japanischer Curry Mix Medium Hot	500	5	50	30	nutrition.aggregated_set
0075496002005	Aromatic Bitters	5	0	0	0	nutrition.input_sets[0]
0075856055399	Cookies & Creme Frozen Dessert Sandwich	269	5.1	47.4	7.7	nutrition.aggregated_set
0076397004075	Chipotle Peppers In Adobo Sauce	67	3.3	13.3	0	nutrition.aggregated_set
0076397009070	Jalapeño, pickled nacho slices	33	0	3.3	0	nutrition.aggregated_set
0076397030227	Salsa	32	0	6.5	0	nutrition.aggregated_set
0076397105116	La costena pickled jalapeno nacho	13	0.3	2.6	0.2	nutrition.aggregated_set
0076406021505	Apricot Nectar	51	0	12.5	0	nutrition.aggregated_set
